epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.36052,2.06499,3.93417,1.72782,0.02929,0.55779,0.20208,0.10169,1.78013,3.93529,1.4352,0.00017687,0.00017687,0.00017687
2,10.1277,1.93302,2.55462,1.48835,0.9825,0.20275,0.45685,0.21093,1.87115,3.43331,1.44699,0.000359641,0.000359641,0.000359641
3,14.8957,1.94265,1.51894,1.50256,0.98126,0.20831,0.79044,0.32414,1.96178,2.91654,1.49083,0.000540585,0.000540585,0.000540585
4,19.6205,1.86535,1.30947,1.4813,0.93712,0.48263,0.84021,0.39125,1.94063,2.25876,1.46034,0.000719701,0.000719701,0.000719701
5,24.1408,1.82843,1.20897,1.43766,0.82624,0.75759,0.87184,0.41178,1.96233,1.73144,1.47825,0.000753774,0.000753774,0.000753774
6,28.5577,1.79783,1.15717,1.42995,0.84992,0.83526,0.86435,0.40079,1.99175,1.24969,1.5159,0.000749967,0.000749967,0.000749967
7,33.019,1.75618,1.09155,1.41403,0.87599,0.83328,0.90126,0.43339,1.89273,1.11991,1.4764,0.000746161,0.000746161,0.000746161
8,37.4729,1.73761,1.05742,1.38397,0.88144,0.85048,0.91078,0.43321,1.92829,1.10945,1.47413,0.000742354,0.000742354,0.000742354
9,41.8943,1.7148,1.02132,1.38164,0.84977,0.86557,0.90583,0.43831,1.87009,1.01521,1.47229,0.000738548,0.000738548,0.000738548
10,46.3601,1.71373,1.00427,1.36767,0.89898,0.87342,0.91949,0.45362,1.87252,0.96244,1.44185,0.000734741,0.000734741,0.000734741
11,50.8445,1.6891,0.98492,1.3615,0.8683,0.86631,0.90493,0.43754,1.93199,1.05029,1.51209,0.000730935,0.000730935,0.000730935
12,55.3129,1.69982,0.96468,1.36508,0.8994,0.87314,0.91121,0.4357,1.93103,0.96418,1.48937,0.000727128,0.000727128,0.000727128
13,59.7792,1.67457,0.93242,1.35366,0.90502,0.89299,0.927,0.45569,1.87567,0.95871,1.47594,0.000723321,0.000723321,0.000723321
