epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0543,1.96138,4.64424,2.44784,0.0038,1,0.10214,0.05547,1.27941,3.30503,1.60179,1.25e-05,1.25e-05,1.25e-05
2,1.67888,1.813,4.56143,2.37891,0.00381,1,0.1183,0.05993,1.27841,3.31653,1.59545,3.71287e-05,3.71287e-05,3.71287e-05
3,2.23073,1.80326,4.74077,2.23407,0.00382,1,0.12602,0.07291,1.28972,3.31549,1.59341,6.12625e-05,6.12625e-05,6.12625e-05
4,2.7809,1.83839,4.71497,2.33802,0.00387,1,0.08992,0.05866,1.28596,3.32128,1.59249,8.49012e-05,8.49012e-05,8.49012e-05
5,3.32061,1.66054,4.56863,2.23869,0.00409,1,0.10236,0.05881,1.06725,3.19168,1.3092,0.000108045,0.000108045,0.000108045
6,3.92555,1.02899,3.94501,1.56325,0.00398,1,0.42051,0.30281,1.1117,3.14725,1.35659,0.000130694,0.000130694,0.000130694
7,4.54349,0.98307,3.8058,1.49306,0.00367,1,0.45604,0.33777,1.03016,3.14421,1.2976,0.000152847,0.000152847,0.000152847
8,5.15453,0.88799,3.63233,1.37965,0.00375,1,0.62187,0.48506,0.88156,3.13011,1.27972,0.000174506,0.000174506,0.000174506
9,5.77337,0.86239,3.35975,1.37403,0.00363,1,0.78771,0.60735,0.96826,3.13268,1.25676,0.00019567,0.00019567,0.00019567
10,6.41104,0.84399,3.10885,1.3051,0.00355,1,0.78771,0.57418,0.86118,3.08307,1.15706,0.000216339,0.000216339,0.000216339
11,7.02568,0.84293,2.99761,1.37045,0.00348,1,0.91208,0.65707,0.84651,3.04237,1.17423,0.000236513,0.000236513,0.000236513
12,7.65739,0.90224,2.75653,1.37945,0.00354,1,0.72542,0.56895,0.9536,3.03716,1.23036,0.000256191,0.000256191,0.000256191
13,8.28965,0.75777,2.50367,1.27307,0.00361,1,0.82896,0.61754,0.83039,2.99635,1.19811,0.000275375,0.000275375,0.000275375
14,8.89222,0.8498,2.38957,1.30908,0.00361,1,0.95333,0.7936,0.71975,2.94987,1.11646,0.000294064,0.000294064,0.000294064
15,9.51672,0.84094,2.27227,1.26375,0.00369,1,0.9325,0.69407,0.75122,2.98032,1.1344,0.000312257,0.000312257,0.000312257
16,10.1406,0.82789,2.21057,1.23419,0.00401,1,0.82896,0.6118,0.96229,3.00938,1.31946,0.000329956,0.000329956,0.000329956
17,10.7734,0.72912,2.00325,1.20263,0.00409,1,0.87062,0.62663,0.88817,2.98629,1.21148,0.00034716,0.00034716,0.00034716
18,11.4017,0.79586,1.9596,1.24079,0.0043,1,0.75433,0.57643,0.92077,2.98065,1.25612,0.000363869,0.000363869,0.000363869
19,12.0174,0.70842,1.89888,1.13977,0.00419,1,0.87062,0.58433,0.98191,2.95884,1.2226,0.000380083,0.000380083,0.000380083
20,12.6521,0.71642,1.8835,1.1808,0.00397,1,0.87062,0.5055,1.13362,2.96185,1.4939,0.000395801,0.000395801,0.000395801
21,13.306,0.72132,1.81866,1.2179,0.00397,1,0.82896,0.51,1.17451,2.99214,1.72959,0.000411025,0.000411025,0.000411025
22,13.9138,0.75232,1.78243,1.23899,0.00383,1,0.78729,0.50444,1.24686,2.92578,1.83976,0.000425754,0.000425754,0.000425754
23,14.5171,0.73125,1.69388,1.11579,0.00376,1,0.92,0.54751,1.28056,2.9528,1.70096,0.000439988,0.000439988,0.000439988
24,15.1333,0.70907,1.75702,1.10904,0.00355,1,0.92,0.60681,1.11722,2.95387,1.39281,0.000453726,0.000453726,0.000453726
25,15.7443,0.73886,1.696,1.16256,0.00371,1,0.80813,0.53051,1.15845,2.98276,1.52989,0.00046697,0.00046697,0.00046697
26,16.3516,0.74368,1.70971,1.17225,0.00366,1,0.90125,0.68701,0.99582,2.99309,1.33493,0.000479719,0.000479719,0.000479719
