epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65369,1.76568,3.86321,1.86635,0.00671,0.9375,0.28285,0.18214,1.2024,3.14853,1.3108,0.0001125,0.0001125,0.0001125
2,4.87169,1.16022,2.96737,1.29574,0.00661,1,0.84091,0.57154,0.95763,2.99524,1.10186,0.000235149,0.000235149,0.000235149
3,6.89553,1.14888,1.98837,1.26607,0.00722,1,0.83783,0.60073,0.93915,2.97938,1.11879,0.000355322,0.000355322,0.000355322
4,8.8926,1.13979,1.51853,1.2589,0.00977,0.9375,0.71073,0.46605,1.21569,3.07193,1.47369,0.000473021,0.000473021,0.000473021
5,10.8897,1.15462,1.48954,1.2581,0.93219,0.03846,0.83365,0.55389,1.07819,2.73813,1.22268,0.000588245,0.000588245,0.000588245
6,12.7294,1.10883,1.35026,1.19796,0.85477,0.12507,0.76822,0.51347,1.13331,2.69449,1.38484,0.000700994,0.000700994,0.000700994
7,14.5549,1.10869,1.2875,1.21224,0.92413,0.36465,0.93712,0.65142,1.21157,2.28774,1.29525,0.000811267,0.000811267,0.000811267
8,16.4152,1.10403,1.21872,1.20087,0.92954,0.53691,0.90668,0.63965,1.15663,2.1584,1.31737,0.000919066,0.000919066,0.000919066
9,18.3186,1.09141,1.18578,1.17454,0.86992,0.485,0.81783,0.53777,1.31817,2.25938,1.51303,0.00102439,0.00102439,0.00102439
10,20.17,1.08274,1.14924,1.17405,0.76906,0.66512,0.87031,0.53216,1.49158,1.92567,1.8026,0.00112724,0.00112724,0.00112724
11,22.0598,1.08417,1.07242,1.18017,0.84387,0.89621,0.91686,0.6049,1.17066,1.35959,1.30075,0.00112625,0.00112625,0.00112625
12,23.9906,1.0821,1.02645,1.17322,0.87533,0.94308,0.96225,0.6971,1.09086,0.93413,1.20442,0.00111388,0.00111388,0.00111388
13,25.8338,1.06823,0.98393,1.18201,0.68219,0.82547,0.81735,0.53655,1.28514,1.50933,1.31556,0.0011015,0.0011015,0.0011015
14,27.7272,1.05476,0.99206,1.16186,0.55441,0.7453,0.70351,0.46486,1.24294,1.49992,1.29985,0.00108913,0.00108913,0.00108913
15,29.6134,1.07389,0.89263,1.15863,0.58655,0.875,0.80055,0.53198,1.16593,1.29365,1.19582,0.00107675,0.00107675,0.00107675
16,31.5132,1.06347,0.8623,1.15682,0.8661,0.93878,0.93602,0.6796,1.0848,0.85786,1.17727,0.00106437,0.00106437,0.00106437
17,33.3928,1.07133,0.83629,1.16854,0.8725,0.76931,0.90801,0.61671,1.17847,0.98235,1.18911,0.001052,0.001052,0.001052
18,35.267,1.11473,0.82104,1.18475,0.79323,0.81342,0.90211,0.5687,1.2607,1.01409,1.24285,0.00103962,0.00103962,0.00103962
19,37.1844,1.05388,0.78757,1.14459,0.84276,0.84126,0.9153,0.58918,1.2226,0.93376,1.25875,0.00102725,0.00102725,0.00102725
20,39.0748,1.04084,0.75612,1.15087,0.82992,0.88563,0.88844,0.59787,1.18198,0.77914,1.19632,0.00101488,0.00101488,0.00101488
21,40.9518,1.05617,0.74782,1.15907,0.87641,0.79813,0.89374,0.60896,1.25635,0.87919,1.24448,0.0010025,0.0010025,0.0010025
22,42.8143,1.05176,0.74543,1.13684,0.86942,0.98802,0.95917,0.69201,1.07754,0.72829,1.10768,0.000990125,0.000990125,0.000990125
23,44.7358,1.02291,0.72332,1.12798,0.90399,0.93747,0.96153,0.70395,1.06827,0.6779,1.09349,0.00097775,0.00097775,0.00097775
24,46.625,1.05371,0.70097,1.15216,0.92269,0.91971,0.97533,0.69208,1.11825,0.66347,1.1248,0.000965375,0.000965375,0.000965375
25,48.5488,1.03513,0.6638,1.14599,0.89142,0.90503,0.97089,0.67902,1.17516,0.74049,1.17304,0.000953,0.000953,0.000953
26,50.4723,1.01914,0.64831,1.14639,0.90897,0.9607,0.96448,0.69043,1.09041,0.62733,1.12672,0.000940625,0.000940625,0.000940625
27,52.4409,1.0073,0.65166,1.13157,0.91672,1,0.98065,0.69215,1.11779,0.64148,1.11734,0.00092825,0.00092825,0.00092825
28,54.3615,1.02059,0.6177,1.11657,0.87575,0.97743,0.97454,0.71928,1.08179,0.6716,1.11113,0.000915875,0.000915875,0.000915875
29,56.2357,1.0008,0.59432,1.11778,0.92935,0.9745,0.97868,0.7084,1.07297,0.58347,1.08556,0.0009035,0.0009035,0.0009035
30,58.1488,0.99947,0.60978,1.12138,0.85682,0.89016,0.94437,0.66847,1.16389,0.74668,1.19128,0.000891125,0.000891125,0.000891125
31,60.0652,1.03325,0.60397,1.15666,0.9127,0.99193,0.97415,0.71432,1.09056,0.59254,1.13064,0.00087875,0.00087875,0.00087875
32,61.9238,1.00951,0.60628,1.13248,0.91195,0.94417,0.97025,0.70709,1.14781,0.63843,1.20135,0.000866375,0.000866375,0.000866375
33,63.7991,1.02248,0.59737,1.12974,0.86065,0.91652,0.94006,0.61695,1.24602,0.72788,1.21802,0.000854,0.000854,0.000854
34,65.6173,1.00189,0.60943,1.11938,0.93254,0.95984,0.98441,0.7355,1.08681,0.58307,1.10192,0.000841625,0.000841625,0.000841625
35,67.4576,0.98567,0.55677,1.11543,0.90857,0.9747,0.9822,0.67485,1.17188,0.61387,1.15996,0.00082925,0.00082925,0.00082925
36,69.3051,0.96835,0.56453,1.10999,0.9166,0.97222,0.98522,0.71213,1.10939,0.56716,1.12036,0.000816875,0.000816875,0.000816875
37,71.102,0.98502,0.55949,1.10742,0.91666,0.9482,0.97531,0.68144,1.0663,0.63947,1.11659,0.0008045,0.0008045,0.0008045
38,72.9832,0.97314,0.54321,1.1273,0.94677,0.94409,0.98333,0.73408,1.04623,0.54216,1.09837,0.000792125,0.000792125,0.000792125
39,74.8109,0.98816,0.54506,1.107,0.95599,1,0.99,0.7429,1.07269,0.51365,1.09576,0.00077975,0.00077975,0.00077975
40,76.6445,0.98332,0.53125,1.10698,0.94655,0.99308,0.98733,0.76178,0.97617,0.48547,1.0523,0.000767375,0.000767375,0.000767375
41,78.4742,0.97539,0.53142,1.09112,0.92349,0.9847,0.985,0.72391,1.06214,0.55995,1.09189,0.000755,0.000755,0.000755
42,80.3465,0.98844,0.53349,1.10259,0.94676,0.96838,0.9873,0.72554,1.09155,0.51842,1.10565,0.000742625,0.000742625,0.000742625
43,82.1831,0.99513,0.52558,1.11314,0.95651,0.95915,0.986,0.72971,1.04988,0.501,1.07575,0.00073025,0.00073025,0.00073025
44,84.0609,0.96958,0.51967,1.0936,0.94404,0.99468,0.99113,0.75263,0.98136,0.4942,1.05268,0.000717875,0.000717875,0.000717875
45,85.932,0.99149,0.51267,1.10269,0.93782,0.99539,0.98886,0.72336,1.10111,0.51501,1.11393,0.0007055,0.0007055,0.0007055
46,87.8117,0.96601,0.5138,1.11068,0.94241,1,0.98864,0.74686,0.99859,0.49131,1.07099,0.000693125,0.000693125,0.000693125
47,89.6048,0.9363,0.49908,1.08963,0.94281,1,0.99267,0.72776,1.09758,0.49925,1.08108,0.00068075,0.00068075,0.00068075
48,91.4675,0.98929,0.4978,1.10016,0.97471,0.96242,0.99267,0.76188,1.00568,0.47248,1.06004,0.000668375,0.000668375,0.000668375
49,93.3169,0.96233,0.49216,1.09918,0.9243,1,0.99172,0.76595,1.00732,0.47292,1.05751,0.000656,0.000656,0.000656
50,95.1798,0.93533,0.48286,1.09387,0.93846,1,0.995,0.74064,1.02761,0.46604,1.07772,0.000643625,0.000643625,0.000643625
51,97.0066,0.93538,0.47902,1.09862,0.93679,0.99627,0.98824,0.73412,1.04157,0.50478,1.08912,0.00063125,0.00063125,0.00063125
52,98.8132,0.94507,0.48629,1.09912,0.91793,0.99609,0.99089,0.74722,1.02632,0.51177,1.06528,0.000618875,0.000618875,0.000618875
53,100.69,0.9544,0.47938,1.08817,0.97672,0.97222,0.99,0.73549,1.05979,0.48744,1.07651,0.0006065,0.0006065,0.0006065
54,102.539,0.93452,0.45858,1.0834,0.97977,0.94749,0.99225,0.73038,1.11112,0.53198,1.11522,0.000594125,0.000594125,0.000594125
55,104.334,0.94634,0.47562,1.09988,0.97046,0.92042,0.995,0.74247,1.0331,0.51888,1.08749,0.00058175,0.00058175,0.00058175
56,106.19,0.9322,0.47195,1.07426,0.88508,1,0.98643,0.72279,1.06312,0.52442,1.10102,0.000569375,0.000569375,0.000569375
57,108.032,0.92088,0.45779,1.0652,0.96535,0.91253,0.9895,0.73112,1.02652,0.5081,1.09462,0.000557,0.000557,0.000557
58,109.865,0.93073,0.46526,1.09791,0.92515,1,0.995,0.73656,1.01195,0.476,1.06824,0.000544625,0.000544625,0.000544625
59,111.712,0.91568,0.45166,1.07596,0.96454,0.99796,0.995,0.74612,1.06226,0.45535,1.08407,0.00053225,0.00053225,0.00053225
