epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6396,4.02041,4.51095,3.88474,0,0,0,0,4.31213,4.62408,4.14412,0.000253892,0.000253892,0.000253892
2,48.4408,2.86368,2.87673,2.92845,0.4055,0.40762,0.36717,0.12803,2.52004,2.34976,2.74842,0.000505174,0.000505174,0.000505174
3,68.9762,2.48646,2.06337,2.47936,0.52448,0.5385,0.54827,0.22283,2.28929,1.64904,2.49652,0.000751381,0.000751381,0.000751381
4,89.1106,2.30614,1.71476,2.29497,0.68101,0.70944,0.73066,0.31621,2.1396,1.44021,2.35382,0.000746161,0.000746161,0.000746161
5,109.421,2.18183,1.51032,2.17643,0.7889,0.74457,0.79604,0.33866,2.18767,1.27879,2.38186,0.000738548,0.000738548,0.000738548
6,129.825,2.10189,1.3918,2.09926,0.81521,0.78413,0.83596,0.38967,2.03669,1.17887,2.25111,0.000730935,0.000730935,0.000730935
7,149.974,2.07864,1.3164,2.05612,0.83457,0.8186,0.86738,0.41127,1.98961,1.14639,2.19801,0.000723321,0.000723321,0.000723321
8,170.287,2.01656,1.25742,2.00738,0.86921,0.83492,0.88238,0.42491,2.00437,1.06966,2.21061,0.000715708,0.000715708,0.000715708
9,190.402,1.98313,1.20647,1.9669,0.88001,0.84853,0.89544,0.42308,1.94923,1.03139,2.14811,0.000708095,0.000708095,0.000708095
10,210.488,1.95626,1.1852,1.96728,0.87887,0.83241,0.89114,0.43049,1.9441,1.02116,2.14004,0.000700482,0.000700482,0.000700482
11,230.57,1.94036,1.14175,1.93193,0.88114,0.85484,0.89324,0.42226,1.95755,1.02702,2.15523,0.000692869,0.000692869,0.000692869
12,251.018,1.91286,1.1083,1.90515,0.89749,0.87803,0.91224,0.45912,1.88896,0.94503,2.09688,0.000685256,0.000685256,0.000685256
