epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.47696,1.40617,3.29188,1.31339,0.02059,0.5403,0.22905,0.16276,1.38755,3.72881,1.25833,0.00020907,0.00020907,0.00020907
2,13.4904,1.2155,1.40993,1.17205,0.02235,0.54502,0.41147,0.25294,1.59901,3.47604,1.40495,0.000423,0.000423,0.000423
3,18.6633,1.163,0.97664,1.14781,0.99824,0.14286,0.54997,0.39797,1.26892,3.05332,1.20565,0.000632611,0.000632611,0.000632611
4,23.5454,1.11363,0.86948,1.11076,0.99502,0.33753,0.67284,0.42248,1.52525,2.53696,1.4495,0.000837903,0.000837903,0.000837903
5,28.628,1.09604,0.83244,1.11335,0.96633,0.49666,0.76341,0.49927,1.3531,1.92627,1.29477,0.000873004,0.000873004,0.000873004
6,33.5897,1.09914,0.78292,1.12427,0.91948,0.60284,0.74921,0.44815,1.58105,1.56978,1.45758,0.000864004,0.000864004,0.000864004
7,38.5974,1.05852,0.72902,1.09323,0.71499,0.6597,0.73364,0.45054,1.41104,1.36705,1.33668,0.000855005,0.000855005,0.000855005
8,43.562,1.05849,0.70304,1.09152,0.72836,0.73543,0.76491,0.49368,1.37256,1.08169,1.30576,0.000846006,0.000846006,0.000846006
9,48.5323,1.03286,0.67684,1.08124,0.77821,0.70322,0.75239,0.47411,1.44641,1.14691,1.32961,0.000837007,0.000837007,0.000837007
10,53.5564,1.0203,0.66119,1.0734,0.80373,0.79168,0.82307,0.51964,1.36089,0.97288,1.29219,0.000828008,0.000828008,0.000828008
11,58.4749,1.01628,0.6395,1.07949,0.78371,0.75353,0.79918,0.52869,1.30745,1.11304,1.27109,0.000819009,0.000819009,0.000819009
12,63.498,1.0032,0.62365,1.06275,0.84804,0.74149,0.79592,0.5071,1.36897,1.13286,1.28672,0.00081001,0.00081001,0.00081001
13,68.4854,1.00128,0.60369,1.06974,0.80571,0.76616,0.81277,0.52084,1.37488,1.04321,1.31372,0.000801011,0.000801011,0.000801011
14,73.5424,1.00384,0.59064,1.05528,0.83111,0.75012,0.81369,0.52706,1.35922,1.12037,1.29053,0.000792012,0.000792012,0.000792012
15,78.4231,1.00856,0.58442,1.06175,0.86407,0.74217,0.80047,0.51452,1.39304,1.1766,1.30541,0.000783013,0.000783013,0.000783013
16,83.4051,0.98803,0.55858,1.06146,0.839,0.75112,0.81799,0.53473,1.31288,1.04939,1.26214,0.000774013,0.000774013,0.000774013
17,88.308,0.95954,0.54858,1.04256,0.8246,0.74463,0.79073,0.503,1.40443,1.10577,1.30171,0.000765014,0.000765014,0.000765014
18,93.3736,0.97538,0.5442,1.04991,0.81019,0.79353,0.81656,0.52455,1.33394,0.93274,1.28945,0.000756015,0.000756015,0.000756015
19,98.4154,0.97585,0.53366,1.04587,0.80704,0.75486,0.79358,0.51894,1.36483,1.03436,1.2805,0.000747016,0.000747016,0.000747016
20,103.368,0.96186,0.53186,1.04669,0.82881,0.76699,0.82178,0.53683,1.29095,1.05531,1.25072,0.000738017,0.000738017,0.000738017
21,108.373,0.95522,0.51582,1.04636,0.79135,0.75568,0.79644,0.53316,1.28459,1.08547,1.25687,0.000729018,0.000729018,0.000729018
22,113.458,0.95842,0.51887,1.04399,0.84066,0.70081,0.80207,0.51094,1.36813,1.18484,1.28379,0.000720019,0.000720019,0.000720019
23,118.374,0.94536,0.50143,1.04017,0.84858,0.70987,0.8056,0.53621,1.30511,1.14362,1.252,0.00071102,0.00071102,0.00071102
24,123.396,0.94959,0.49743,1.0293,0.84922,0.71631,0.80328,0.52493,1.30592,1.06876,1.25359,0.000702021,0.000702021,0.000702021
25,128.321,0.94179,0.48194,1.03597,0.82103,0.70376,0.79425,0.4921,1.41804,1.0745,1.30515,0.000693022,0.000693022,0.000693022
26,133.333,0.95621,0.48954,1.0357,0.76583,0.76305,0.79347,0.503,1.38398,0.96912,1.30102,0.000684022,0.000684022,0.000684022
27,138.336,0.94023,0.48732,1.03293,0.82034,0.75759,0.82042,0.52824,1.30221,0.93694,1.25877,0.000675023,0.000675023,0.000675023
28,143.372,0.94779,0.47696,1.0413,0.81563,0.75518,0.80801,0.51185,1.38241,1.01092,1.29613,0.000666024,0.000666024,0.000666024
29,148.383,0.92984,0.46624,1.02541,0.84448,0.72341,0.80257,0.50437,1.38229,1.06259,1.27773,0.000657025,0.000657025,0.000657025
30,153.359,0.93522,0.46805,1.03761,0.78868,0.79114,0.78762,0.48381,1.4748,0.88609,1.36713,0.000648026,0.000648026,0.000648026
31,158.362,0.92769,0.46581,1.03295,0.82378,0.78251,0.81237,0.52229,1.3323,0.95434,1.25564,0.000639027,0.000639027,0.000639027
32,163.312,0.92841,0.46256,1.02786,0.8155,0.73059,0.7979,0.51618,1.36748,1.06829,1.28818,0.000630028,0.000630028,0.000630028
33,168.259,0.93976,0.46751,1.02218,0.85444,0.745,0.81832,0.52734,1.32222,1.03521,1.25474,0.000621029,0.000621029,0.000621029
34,173.419,0.93384,0.45117,1.02471,0.83273,0.75081,0.80459,0.51419,1.36559,1.0026,1.28449,0.00061203,0.00061203,0.00061203
35,178.589,0.92123,0.44436,1.02032,0.8532,0.76407,0.80289,0.52937,1.32568,1.03888,1.26345,0.000603031,0.000603031,0.000603031
36,183.681,0.92226,0.45009,1.02794,0.81937,0.75033,0.78167,0.52079,1.29587,1.04785,1.25185,0.000594031,0.000594031,0.000594031
37,188.83,0.92629,0.44346,1.0283,0.8366,0.75133,0.80549,0.54074,1.24911,1.02506,1.23751,0.000585032,0.000585032,0.000585032
38,193.822,0.92436,0.4393,1.02292,0.85929,0.72222,0.79612,0.53372,1.29053,1.12564,1.24466,0.000576033,0.000576033,0.000576033
39,198.774,0.91754,0.43904,1.0237,0.81491,0.74789,0.78034,0.54378,1.2305,1.03784,1.21263,0.000567034,0.000567034,0.000567034
40,203.927,0.91262,0.43478,1.02482,0.81473,0.75162,0.78431,0.54272,1.23444,1.03483,1.21814,0.000558035,0.000558035,0.000558035
41,209.02,0.90882,0.42668,1.01273,0.80649,0.65919,0.74913,0.50305,1.33508,1.31728,1.26427,0.000549036,0.000549036,0.000549036
42,213.942,0.9112,0.42182,1.02101,0.86717,0.72774,0.79024,0.52987,1.304,1.12655,1.25825,0.000540037,0.000540037,0.000540037
43,219.006,0.90012,0.42569,1.01895,0.84119,0.72976,0.79331,0.52743,1.30125,1.07805,1.24934,0.000531038,0.000531038,0.000531038
44,224.012,0.91107,0.42832,1.00523,0.80845,0.76753,0.79937,0.52766,1.32604,0.96402,1.27138,0.000522039,0.000522039,0.000522039
45,229.003,0.8956,0.41591,1.01316,0.76629,0.72603,0.77495,0.51961,1.29754,1.04193,1.25202,0.00051304,0.00051304,0.00051304
46,234.086,0.90864,0.42247,1.015,0.8134,0.71235,0.78886,0.52398,1.31115,1.15521,1.2587,0.00050404,0.00050404,0.00050404
